slug,title,success,chosenSource,chosenUrl,license,author,localPath,notes
ancient-sandals,"Ancient Greek Running Sandals",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/e/e9/Sandals_on_feet.jpg,CC BY-SA or Public Domain,,objects/images/ancient-sandals.jpg,"artifact-photo"
greek-discus,"Ancient Greek Discus",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/b/b4/Robert_Harting_%282008%29.jpg,CC BY-SA or Public Domain,,objects/images/greek-discus.jpg,"artifact-photo"
roman-training-gear,"Roman Gladiator Training Weights",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/0/07/Astyanax_vs_Kalendio_mosaic.jpg,CC BY-SA or Public Domain,,objects/images/roman-training-gear.jpg,"artifact-photo"
olympic-torch,"1936 Berlin Olympic Torch",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/5/5c/Olympic_rings_without_rims.svg,CC BY-SA or Public Domain,,objects/images/olympic-torch.jpg,"artifact-photo"
olympic-medal-1924,"1924 Paris Olympic Gold Medal",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/4/45/1924_Summer_Olympics_logo.svg,CC BY-SA or Public Domain,,objects/images/olympic-medal-1924.jpg,"artifact-photo"
first-olympic-program,"1896 Athens Olympic Program",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/a/ae/Commemorative_album_of_1896_Olympic_Games_-_cover_by_E._Gilli%C3%A9ron.jpg,CC BY-SA or Public Domain,,objects/images/first-olympic-program.jpg,"artifact-photo"
first-stopwatch,"Heuer Stopwatch, 1916",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/d/de/TAG_Heuer_Logo.svg,CC BY-SA or Public Domain,,objects/images/first-stopwatch.jpg,"artifact-photo"
mechanical-chronograph,"Omega Chronograph, 1932",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/c/cd/Vintage_Omega_Speedmaster_%22Pre-moon%22.jpg,CC BY-SA or Public Domain,,objects/images/mechanical-chronograph.jpg,"artifact-photo"
electronic-timer,"Electronic Timing System, 1968",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/9/9d/PanAmRioTiming.jpg,CC BY-SA or Public Domain,,objects/images/electronic-timer.jpg,"artifact-photo"
vintage-sneakers,"Converse All-Stars, 1923",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/a/a5/Black_Converse_sneakers.JPG,CC BY-SA or Public Domain,,objects/images/vintage-sneakers.jpg,"artifact-photo"
early-running-shoe,"Adidas Marathon Running Shoe, 1950s",true,Wikipedia,https://upload.wikimedia.org/wikipedia/en/8/87/Onitsuka_Tiger_Logo.svg,CC BY-SA or Public Domain,,objects/images/early-running-shoe.jpg,"artifact-photo"
track-spike-evolution,"Track Spike Collection, 1960s-1980s",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/f/fd/Jackee88.jpg,CC BY-SA or Public Domain,,objects/images/track-spike-evolution.jpg,"artifact-photo"
first-record-book,"IAAF World Records Book, 1912",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/6/62/World_record_progression_100m_men.svg,CC BY-SA or Public Domain,,objects/images/first-record-book.jpg,"artifact-photo"
olympic-records-archive,"Olympic Records Archive, 1896-1950",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/1/15/Kelvin_Kiptum_2023_Chicago_Marathon.jpg,CC BY-SA or Public Domain,,objects/images/olympic-records-archive.jpg,"artifact-photo"
world-records-timeline,"World Records Timeline Display, 1912-2020",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/d/d4/John_Isner_at_the_2009_US_Open_01.jpg,CC BY-SA or Public Domain,,objects/images/world-records-timeline.jpg,"artifact-photo"
mesoamerican-ball,"Mesoamerican Rubber Ball",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/5/59/Mesoamerica_-_manopla_and_ball.jpg,CC BY-SA or Public Domain,,objects/images/mesoamerican-ball.jpg,"artifact-photo"
sumo-training-gear,"Traditional Sumo Training Equipment",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/2/2a/%E8%A6%AA%E6%96%B9%E3%80%81%E5%BC%9F%E5%AD%90%E3%81%AE%E9%9B%86%E5%90%88%E5%86%99%E7%9C%9F.jpg,CC BY-SA or Public Domain,,objects/images/sumo-training-gear.jpg,"artifact-photo"
african-running-tradition,"East African Running Tradition Artifacts",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/a/ad/Kalambo_Falls.jpg,CC BY-SA or Public Domain,,objects/images/african-running-tradition.jpg,"artifact-photo"
motion-capture-rig,"Vicon Motion Capture System, 2010",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/9/93/Alvernia_Studios_1.jpg,CC BY-SA or Public Domain,,objects/images/motion-capture-rig.jpg,"artifact-photo"
markerless-system,"Markerless Motion Capture, 2020",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/f/f1/Temporal-Control-and-Hand-Movement-Efficiency-in-Skilled-Music-Performance-pone.0050901.s001.ogv,CC BY-SA or Public Domain,,objects/images/markerless-system.jpg,"artifact-photo"
biomechanics-software,"Biomechanics Analysis Software",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/b/b5/OpenSim_GUI_1.1_By_A_Habib_2007.png,CC BY-SA or Public Domain,,objects/images/biomechanics-software.png,"artifact-photo"
force-plate,"Kistler Force Plate, 2015",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/1/1a/George_E._Mueller.jpg,CC BY-SA or Public Domain,,objects/images/force-plate.jpg,"artifact-photo"
pressure-mat,"Pressure-Sensitive Gait Mat, 2020",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/f/f3/Wii-Console.png,CC BY-SA or Public Domain,,objects/images/pressure-mat.png,"artifact-photo"
force-analysis-display,"Force Analysis Visualization System",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/5/54/Rayleigh-Taylor_instability.jpg,CC BY-SA or Public Domain,,objects/images/force-analysis-display.jpg,"artifact-photo"
biomechanics-sensor,"IMU Sensor Array, 2018",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/a/a8/VPL_DataSuit_1.jpg,CC BY-SA or Public Domain,,objects/images/biomechanics-sensor.jpg,"artifact-photo"
heart-rate-monitor,"Polar Heart Rate Monitor, 1982",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/5/51/Ranulph_Fiennes_2014.jpg,CC BY-SA or Public Domain,,objects/images/heart-rate-monitor.jpg,"artifact-photo"
smart-watch-evolution,"Smart Watch Evolution, 2010-2020",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/6/69/2023-0109-CFPtitlegame-Kirby_Smart.jpg,CC BY-SA or Public Domain,,objects/images/smart-watch-evolution.jpg,"artifact-photo"
gait-analyzer,"Wearable Gait Analyzer, 2019",true,The Met Museum,https://images.metmuseum.org/CRDImages/is/original/DP170394.jpg,Public Domain,,objects/images/gait-analyzer.jpg,"artifact-photo"
performance-dashboard,"Performance Analytics Dashboard, 2020",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/8/8c/English_Wikipedia%27s_traffic_by_browser_family.png,CC BY-SA or Public Domain,,objects/images/performance-dashboard.png,"artifact-photo"
biomechanics-visualization,"3D Biomechanics Visualization, 2018",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/2/2b/Mechanical_components.png,CC BY-SA or Public Domain,,objects/images/biomechanics-visualization.png,"artifact-photo"
comparative-analysis,"Comparative Performance Analysis System",true,The Met Museum,https://images.metmuseum.org/CRDImages/ep/original/DP-14882-001.jpg,Public Domain,,objects/images/comparative-analysis.jpg,"artifact-photo"
vr-training-pod,"VR Training Pod, 2023",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/e/ee/Reality_check_ESA384313.jpg,CC BY-SA or Public Domain,,objects/images/vr-training-pod.jpg,"artifact-photo"
vr-sports-sim,"VR Sports Simulation System",true,The Met Museum,https://images.metmuseum.org/CRDImages/ep/original/DP143181.jpg,Public Domain,,objects/images/vr-sports-sim.jpg,"artifact-photo"
haptic-feedback-system,"Haptic Feedback Training Suit",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/6/6f/Chief_Master_Sgt._Mark_Umfleet%2C_317th_Airlift_Wing_command_chief%2C_tests_HaptX_Gloves_Development_Kit_2_at_Dyess_Air_Force_Base%2C_Texas%2C_May_10%2C_2021.jpg,CC BY-SA or Public Domain,,objects/images/haptic-feedback-system.jpg,"artifact-photo"
ai-coaching-system,"AI Performance Coach, 2024",true,The Met Museum,https://images.metmuseum.org/CRDImages/ep/original/DP-687-001.jpg,Public Domain,,objects/images/ai-coaching-system.jpg,"artifact-photo"
neural-interface,"Neural Interface Prototype, 2026",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/b/bf/Ray-Ban_Stories.jpg,CC BY-SA or Public Domain,,objects/images/neural-interface.jpg,"artifact-photo"
predictive-analytics,"Predictive Performance Analytics, 2024",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/8/8c/English_Wikipedia%27s_traffic_by_browser_family.png,CC BY-SA or Public Domain,,objects/images/predictive-analytics.jpg,"artifact-photo"
holographic-display,"Holographic Performance Visualization, 2025",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/a/ad/Suteki_Hololens_applikation_.jpg,CC BY-SA or Public Domain,,objects/images/holographic-display.jpg,"artifact-photo"
future-prototype,"Bio-Integrated Performance System, 2027",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/8/8a/AutoFISH.jpg,CC BY-SA or Public Domain,,objects/images/future-prototype.jpg,"artifact-photo"
bio-integrated-sensors,"Bio-Integrated Sensor Array, 2026",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/4/4b/Effigy_mounds_lidar.jpg,CC BY-SA or Public Domain,,objects/images/bio-integrated-sensors.jpg,"artifact-photo"
carbon-plate-shoe,"Nike Vaporfly with Carbon Plate, 2017",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/0/0d/Nike_Vaporfly_Cut_in_Half.png,CC BY-SA or Public Domain,,objects/images/carbon-plate-shoe.png,"artifact-photo"
gps-watch,"Garmin GPS Watch, 2003",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/3/36/Forerunner_945_Music.jpg,CC BY-SA or Public Domain,,objects/images/gps-watch.jpg,"artifact-photo"
power-meter,"SRM Power Meter, 1986",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/a/a4/SRM_Origin_Power_Meter.jpg,CC BY-SA or Public Domain,,objects/images/power-meter.jpg,"artifact-photo"
altitude-tent,"Altitude Training Tent, 1990s",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/f/f0/Swiss_Olympic_training_base.jpg,CC BY-SA or Public Domain,,objects/images/altitude-tent.jpg,"artifact-photo"
exoskeleton-prototype,"Performance Exoskeleton Prototype, 2025",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/9/91/Biomimetics-09-00520-g001.png,CC BY-SA or Public Domain,,objects/images/exoskeleton-prototype.png,"artifact-photo"